OrderID,Customer,Region,Category,Product,Quantity,Sales,Date,Total,Profit
1001,Vikas,North,Accessories,Mobile,1,13875,2023-01-01,13875,2775.0
1002,Sneha,West,Clothing,Shirt,6,2622,2023-01-02,15732,524.4
1003,Anita,North,Home Appliances,Fridge,5,49756,2023-01-03,248780,9951.2
1004,Karan,North,Electronics,Camera,4,41809,2023-01-04,167236,8361.800000000001
1005,Vikas,South,Home Appliances,Fridge,3,17725,2023-01-05,53175,3545.0
1006,Neha,North,Electronics,Mobile,1,41760,2023-01-06,41760,8352.0
1007,Ravi,East,Accessories,Mobile,6,16646,2023-01-07,99876,3329.2000000000003
1008,Vikas,East,Electronics,Mobile,2,18029,2023-01-08,36058,3605.8
1009,Anita,West,Accessories,Microwave,8,30402,2023-01-09,243216,6080.400000000001
1010,Karan,North,Electronics,Microwave,5,5263,2023-01-10,26315,1052.6000000000001
1011,Sneha,West,Accessories,Headphones,7,31987,2023-01-11,223909,6397.400000000001
1012,Anita,East,Electronics,Headphones,2,47828,2023-01-12,95656,9565.6
1013,Anita,North,Clothing,Mobile,8,48924,2023-01-13,391392,9784.800000000001
1014,Ravi,North,Electronics,Shirt,2,9646,2023-01-14,19292,1929.2
1015,Pooja,West,Electronics,Laptop,4,28529,2023-01-15,114116,5705.8
1016,Karan,East,Clothing,Microwave,1,12664,2023-01-16,12664,2532.8
1017,Priya,North,Home Appliances,Shirt,5,36737,2023-01-17,183685,7347.400000000001
1018,Anita,West,Home Appliances,Jeans,9,36796,2023-01-18,331164,7359.200000000001
1019,Pooja,East,Electronics,Microwave,1,25027,2023-01-19,25027,5005.400000000001
1020,Priya,West,Clothing,Microwave,9,30373,2023-01-20,273357,6074.6
1021,Karan,South,Electronics,Headphones,8,37397,2023-01-21,299176,7479.400000000001
1022,Amit,North,Accessories,Laptop,6,21609,2023-01-22,129654,4321.8
1023,Neha,South,Accessories,Laptop,7,36835,2023-01-23,257845,7367.0
1024,Pooja,East,Electronics,Camera,3,39709,2023-01-24,119127,7941.8
1025,Deepak,South,Home Appliances,Fridge,1,20250,2023-01-25,20250,4050.0
1026,Amit,South,Home Appliances,Fridge,5,22172,2023-01-26,110860,4434.400000000001
1027,Neha,East,Electronics,Fridge,2,12555,2023-01-27,25110,2511.0
1028,Ravi,West,Electronics,Fridge,5,22874,2023-01-28,114370,4574.8
1029,Vikas,South,Accessories,Jeans,8,14081,2023-01-29,112648,2816.2000000000003
1030,Sneha,West,Home Appliances,Jeans,9,25063,2023-01-30,225567,5012.6
1031,Deepak,South,Electronics,Microwave,2,7819,2023-01-31,15638,1563.8000000000002
1032,Ravi,West,Accessories,Mobile,3,26712,2023-02-01,80136,5342.400000000001
1033,Karan,East,Home Appliances,Headphones,3,25762,2023-02-02,77286,5152.400000000001
1034,Ravi,South,Clothing,Headphones,1,12046,2023-02-03,12046,2409.2000000000003
1035,Vikas,East,Accessories,Fridge,8,32463,2023-02-04,259704,6492.6
1036,Karan,South,Home Appliances,Microwave,6,29769,2023-02-05,178614,5953.8
1037,Deepak,East,Home Appliances,Camera,8,24150,2023-02-06,193200,4830.0
1038,Vikas,East,Accessories,Shirt,9,3711,2023-02-07,33399,742.2
1039,Priya,South,Clothing,Mobile,5,5853,2023-02-08,29265,1170.6000000000001
